# marvel-crawler — A_Song_of_Ice_and_Fire_characters crawl (2026-09-10)
# Wikipedia Category:A_Song_of_Ice_and_Fire_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 50 nodes, 720 directed edges.
# 0 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Arianne_Martell	Arya_Stark
Arianne_Martell	Catelyn_Stark
Arianne_Martell	Cersei_Lannister
Arianne_Martell	Daenerys_Targaryen
Arianne_Martell	Ellaria_Sand
Arianne_Martell	Jaime_Lannister
Arianne_Martell	Melisandre
Arianne_Martell	Myrcella_Baratheon
Arianne_Martell	Oberyn_Martell
Arianne_Martell	Sansa_Stark
Arianne_Martell	Tommen_Baratheon
Arianne_Martell	Tywin_Lannister
Arya_Stark	Bran_Stark
Arya_Stark	Brienne_of_Tarth
Arya_Stark	Catelyn_Stark
Arya_Stark	Cersei_Lannister
Arya_Stark	Daenerys_Targaryen
Arya_Stark	Gendry
Arya_Stark	Gregor_Clegane
Arya_Stark	Jaqen_H'ghar
Arya_Stark	Joffrey_Baratheon
Arya_Stark	Jon_Snow_(character)
Arya_Stark	Melisandre
Arya_Stark	Ned_Stark
Arya_Stark	Night_King
Arya_Stark	Petyr_Baelish
Arya_Stark	Rickon_Stark
Arya_Stark	Robb_Stark
Arya_Stark	Robert_Baratheon
Arya_Stark	Roose_Bolton
Arya_Stark	Samwell_Tarly
Arya_Stark	Sandor_Clegane
Arya_Stark	Sansa_Stark
Arya_Stark	Theon_Greyjoy
Arya_Stark	Tyrion_Lannister
Arya_Stark	Tywin_Lannister
Arya_Stark	White_Walker
Bran_Stark	Arya_Stark
Bran_Stark	Brienne_of_Tarth
Bran_Stark	Catelyn_Stark
Bran_Stark	Cersei_Lannister
Bran_Stark	Daenerys_Targaryen
Bran_Stark	Davos_Seaworth
Bran_Stark	Jaime_Lannister
Bran_Stark	Jon_Snow_(character)
Bran_Stark	Ned_Stark
Bran_Stark	Night_King
Bran_Stark	Osha_(A_Song_of_Ice_and_Fire)
Bran_Stark	Petyr_Baelish
Bran_Stark	Ramsay_Bolton
Bran_Stark	Rickon_Stark
Bran_Stark	Robb_Stark
Bran_Stark	Robert_Baratheon
Bran_Stark	Roose_Bolton
Bran_Stark	Samwell_Tarly
Bran_Stark	Sansa_Stark
Bran_Stark	Theon_Greyjoy
Bran_Stark	Tyrion_Lannister
Bran_Stark	White_Walker
Brienne_of_Tarth	Arya_Stark
Brienne_of_Tarth	Bran_Stark
Brienne_of_Tarth	Catelyn_Stark
Brienne_of_Tarth	Cersei_Lannister
Brienne_of_Tarth	Daenerys_Targaryen
Brienne_of_Tarth	Davos_Seaworth
Brienne_of_Tarth	Gendry
Brienne_of_Tarth	Jaime_Lannister
Brienne_of_Tarth	Joffrey_Baratheon
Brienne_of_Tarth	Jon_Snow_(character)
Brienne_of_Tarth	Margaery_Tyrell
Brienne_of_Tarth	Melisandre
Brienne_of_Tarth	Ned_Stark
Brienne_of_Tarth	Petyr_Baelish
Brienne_of_Tarth	Ramsay_Bolton
Brienne_of_Tarth	Renly_Baratheon
Brienne_of_Tarth	Robb_Stark
Brienne_of_Tarth	Roose_Bolton
Brienne_of_Tarth	Sandor_Clegane
Brienne_of_Tarth	Sansa_Stark
Brienne_of_Tarth	Stannis_Baratheon
Brienne_of_Tarth	Theon_Greyjoy
Brienne_of_Tarth	Tormund_Giantsbane
Brienne_of_Tarth	Tyrion_Lannister
Brienne_of_Tarth	White_Walker
Catelyn_Stark	Arya_Stark
Catelyn_Stark	Bran_Stark
Catelyn_Stark	Brienne_of_Tarth
Catelyn_Stark	Jaime_Lannister
Catelyn_Stark	Joffrey_Baratheon
Catelyn_Stark	Jon_Snow_(character)
Catelyn_Stark	Ned_Stark
Catelyn_Stark	Petyr_Baelish
Catelyn_Stark	Renly_Baratheon
Catelyn_Stark	Rickon_Stark
Catelyn_Stark	Robb_Stark
Catelyn_Stark	Robert_Baratheon
Catelyn_Stark	Roose_Bolton
Catelyn_Stark	Sandor_Clegane
Catelyn_Stark	Sansa_Stark
Catelyn_Stark	Stannis_Baratheon
Catelyn_Stark	Theon_Greyjoy
Catelyn_Stark	Tyrion_Lannister
Cersei_Lannister	Arya_Stark
Cersei_Lannister	Bran_Stark
Cersei_Lannister	Daenerys_Targaryen
Cersei_Lannister	Gregor_Clegane
Cersei_Lannister	Jaime_Lannister
Cersei_Lannister	Joffrey_Baratheon
Cersei_Lannister	Jon_Snow_(character)
Cersei_Lannister	Missandei
Cersei_Lannister	Myrcella_Baratheon
Cersei_Lannister	Ned_Stark
Cersei_Lannister	Oberyn_Martell
Cersei_Lannister	Olenna_Tyrell
Cersei_Lannister	Robert_Baratheon
Cersei_Lannister	Sansa_Stark
Cersei_Lannister	Stannis_Baratheon
