# marvel-crawler — A_Song_of_Ice_and_Fire_characters crawl (2026-09-10)
# Wikipedia Category:A_Song_of_Ice_and_Fire_characters — 50 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Arianne_Martell	Arianne Martell	Q21006944	https://en.wikipedia.org/wiki/Arianne_Martell	Arianne Nymeros Martell is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin.
Arya_Stark	Arya Stark	Q3624677	https://en.wikipedia.org/wiki/Arya_Stark	Arya Stark is a fictional character in American author George R. R. Martin's A Song of Ice and Fire epic fantasy novel series and its HBO television adaptation Game of Thrones, where she was portrayed by English actress Maisie Williams.
Bran_Stark	Bran Stark	Q3643599	https://en.wikipedia.org/wiki/Bran_Stark	Brandon Stark, also known as Bran, is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin, and its television adaptation, Game of Thrones, in which he is portrayed by English actor Isaac Hempstead Wright in every season except the fifth.
Brienne_of_Tarth	Brienne of Tarth	Q11680307	https://en.wikipedia.org/wiki/Brienne_of_Tarth	Brienne of Tarth is a fictional character in George R. R. Martin's A Song of Ice and Fire series of fantasy novels and its television adaptation, Game of Thrones.
Catelyn_Stark	Catelyn Stark	Q2941743	https://en.wikipedia.org/wiki/Catelyn_Stark	Catelyn Stark (née Tully), later known as Lady Stoneheart, is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin and its television adaptation Game of Thrones.
Cersei_Lannister	Cersei Lannister	Q3665163	https://en.wikipedia.org/wiki/Cersei_Lannister	Cersei Lannister is a fictional character in the A Song of Ice and Fire series of epic fantasy novels by American author George R. R. Martin, and one of the franchise's main characters.
Daario_Naharis	Daario Naharis	Q22254472	https://en.wikipedia.org/wiki/Daario_Naharis	Daario Naharis is a fictional character in the A Song of Ice and Fire series of fantasy novels by American author George R. R. Martin and its television adaptation Game of Thrones.
Daemon_Targaryen	Daemon Targaryen	Q55520758	https://en.wikipedia.org/wiki/Daemon_Targaryen	Daemon Targaryen, nicknamed The Rogue Prince, is a fictional character in American author George R. R. Martin's the A Song of Ice and Fire series of epic fantasy novels, appearing in the 2013 novella The Princess and the Queen, the 2014 novella The Rogue Prince and the 2018 novel Fire & Blood.
Daenerys_Targaryen	Daenerys Targaryen	Q2708078	https://en.wikipedia.org/wiki/Daenerys_Targaryen	Daenerys Targaryen (, də-NAIR-iss tar-GAIR-ee-ən) is a fictional character in the series of epic fantasy novels A Song of Ice and Fire by American author George R. R. Martin.
Davos_Seaworth	Davos Seaworth	Q5800500	https://en.wikipedia.org/wiki/Davos_Seaworth	Davos Seaworth, also known as the Onion Knight or Davos Shorthand, is a fictional character from the A Song of Ice and Fire series of epic fantasy novels by American writer George R. R. Martin, and its television adaptation Game of Thrones.
