# marvel-crawler — the_list_page_List_of_Middle-earth_characters crawl (2026-09-10)
# Wikipedia the list page List_of_Middle-earth_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 57 nodes, 790 directed edges.
# 0 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Aragorn	Arwen
Aragorn	Bilbo_Baggins
Aragorn	Denethor
Aragorn	Dúnedain
Aragorn	Elendil
Aragorn	Elrond
Aragorn	Elves_in_Middle-earth
Aragorn	Faramir
Aragorn	Frodo_Baggins
Aragorn	Galadriel
Aragorn	Gandalf
Aragorn	Gil-galad
Aragorn	Gimli_(Middle-earth)
Aragorn	Gollum
Aragorn	Isildur
Aragorn	Legolas
Aragorn	Merry_Brandybuck
Aragorn	Noldor
Aragorn	Pippin_Took
Aragorn	Samwise_Gamgee
Aragorn	Saruman
Aragorn	Sauron
Aragorn	Thranduil
Aragorn	Théoden
Aragorn	Treebeard
Aragorn	Witch-king_of_Angmar
Aragorn	Women_in_The_Lord_of_the_Rings
Aragorn	Éomer
Aragorn	Éowyn
Arwen	Aragorn
Arwen	Dúnedain
Arwen	Elendil
Arwen	Elrond
Arwen	Elves_in_Middle-earth
Arwen	Eärendil_and_Elwing
Arwen	Finwë_and_Míriel
Arwen	Frodo_Baggins
Arwen	Galadriel
Arwen	Glorfindel
Arwen	Lúthien_and_Beren
Arwen	Melian_(Middle-earth)
Arwen	Noldor
Arwen	Thingol
Arwen	Tuor_and_Idril
Arwen	Éowyn
Balin_(Middle-earth)	Bard_the_Bowman
Balin_(Middle-earth)	Bilbo_Baggins
Balin_(Middle-earth)	Elves_in_Middle-earth
Balin_(Middle-earth)	Gandalf
Balin_(Middle-earth)	Gimli_(Middle-earth)
Balin_(Middle-earth)	Smaug
Balin_(Middle-earth)	Thorin_Oakenshield
Balin_(Middle-earth)	Thranduil
Bard_the_Bowman	Aragorn
Bard_the_Bowman	Beorn
Bard_the_Bowman	Bilbo_Baggins
Bard_the_Bowman	Boromir
Bard_the_Bowman	Denethor
Bard_the_Bowman	Faramir
Bard_the_Bowman	Húrin
Bard_the_Bowman	Lúthien_and_Beren
Bard_the_Bowman	Saruman
Bard_the_Bowman	Sauron
Bard_the_Bowman	Smaug
Bard_the_Bowman	Thorin_Oakenshield
Bard_the_Bowman	Thranduil
Bard_the_Bowman	Túrin_Turambar
Beorn	Aragorn
Beorn	Bilbo_Baggins
Beorn	Elves_in_Middle-earth
Beorn	Gandalf
Beorn	Gollum
Beorn	Sauron
Beorn	Thorin_Oakenshield
Beorn	Tom_Bombadil
Bilbo_Baggins	Aragorn
Bilbo_Baggins	Beorn
Bilbo_Baggins	Elrond
Bilbo_Baggins	Elves_in_Middle-earth
Bilbo_Baggins	Frodo_Baggins
Bilbo_Baggins	Galadriel
Bilbo_Baggins	Gandalf
Bilbo_Baggins	Gil-galad
Bilbo_Baggins	Gimli_(Middle-earth)
Bilbo_Baggins	Gollum
Bilbo_Baggins	Legolas
Bilbo_Baggins	Lúthien_and_Beren
Bilbo_Baggins	Merry_Brandybuck
Bilbo_Baggins	Pippin_Took
Bilbo_Baggins	Samwise_Gamgee
Bilbo_Baggins	Sauron
Bilbo_Baggins	Smaug
Bilbo_Baggins	Thorin_Oakenshield
Bilbo_Baggins	Women_in_The_Lord_of_the_Rings
Boromir	Aragorn
Boromir	Denethor
Boromir	Elrond
Boromir	Faramir
Boromir	Frodo_Baggins
Boromir	Fëanor
Boromir	Galadriel
Boromir	Gandalf
