# marvel-crawler — Marvel_Comics_supervillains crawl (2026-09-13)
# Wikipedia Category:Marvel_Comics_supervillains: one node per page; edge A -> B
# when the article of A links to the article of B. 370 nodes, 1136 directed edges.
# 43 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Absorbing_Man	Hulk
Absorbing_Man	Norman_Osborn
Absorbing_Man	Sentry_(Robert_Reynolds)
Alexander_Bont	Gladiator_(Melvin_Potter)
Answer_(comics)	Black_Cat_(Marvel_Comics)
Answer_(comics)	Farley_Stillwell
Answer_(comics)	Hobgoblin_(Marvel_Comics)
Answer_(comics)	Silvermane
Apocalypse_(character)	Absorbing_Man
Apocalypse_(character)	Dracula_(Marvel_Comics)
Apocalypse_(character)	Hulk
Apocalypse_(character)	Living_Monolith
Apocalypse_(character)	Mister_Sinister
Apocalypse_(character)	Phoenix_Force
Apocalypse_(character)	Vulcan_(Marvel_Comics)
Apocalypse_(character)	War_(Marvel_Comics)
Ares_(Marvel_Comics)	Black_Knight_(Marvel_Comics)
Ares_(Marvel_Comics)	Danger_Room
Ares_(Marvel_Comics)	Mac_Gargan
Ares_(Marvel_Comics)	Maestro_(character)
Ares_(Marvel_Comics)	Norman_Osborn
Ares_(Marvel_Comics)	Sentry_(Robert_Reynolds)
Aries_(character)	Libra_(Marvel_Comics)
Aries_(character)	Mister_Sinister
Aries_(character)	Quicksilver_(Marvel_Comics)
Aries_(character)	Scorpio_(Marvel_Comics)
Aries_(character)	Taurus_(Marvel_Comics)
Aries_(character)	Thanos
Attuma	Hulk
Attuma	Llyra
Attuma	Orka_(character)
Attuma	Sentry_(Robert_Reynolds)
Attuma	Tiger_Shark_(Marvel_Comics)
Awesome_Android	Super-Adaptoid
Barney_Barton	Egghead_(Marvel_Comics)
Barney_Barton	Norman_Osborn
Baron_Brimstone	Orka_(character)
Baron_Strucker	Hive_(character)
Baron_Strucker	Norman_Osborn
Baron_Strucker	Scorpio_(Marvel_Comics)
Baron_Von_Blitzschlag	Norman_Osborn
Baron_Von_Blitzschlag	Ragnarok_(comics)
Batroc_the_Leaper	Absorbing_Man
Batroc_the_Leaper	Deadpool
Batroc_the_Leaper	Tarantula_(Marvel_Comics)
Batwing_(Marvel_Comics)	Lizard_(character)
Beyonder	Dracula_(Marvel_Comics)
Beyonder	Molecule_Man
Beyonder	Phoenix_Force
Beyonder	Thanos
Bi-Beast	Hulk
Bi-Beast	Thunderbolt_Ross
Birdy_(character)	Sabretooth_(character)
Black_Cat_(Marvel_Comics)	Beyonder
Black_Cat_(Marvel_Comics)	Foreigner_(character)
Black_Cat_(Marvel_Comics)	Hobgoblin_(Marvel_Comics)
Black_Cat_(Marvel_Comics)	Hulk
Black_Cat_(Marvel_Comics)	Hydro-Man
Black_Cat_(Marvel_Comics)	Lizard_(character)
Black_Cat_(Marvel_Comics)	Maestro_(character)
Black_Cat_(Marvel_Comics)	Mister_Negative
Black_Cat_(Marvel_Comics)	Morbius
Black_Cat_(Marvel_Comics)	Norman_Osborn
Black_Cat_(Marvel_Comics)	Scarlet_Spider
Black_Cat_(Marvel_Comics)	Silvermane
Black_Cat_(Marvel_Comics)	Tinkerer_(Marvel_Comics)
Black_Knight_(Marvel_Comics)	Black_Knight_(Nathan_Garrett)
Black_Knight_(Marvel_Comics)	Dracula_(Marvel_Comics)
Black_Knight_(Nathan_Garrett)	Black_Knight_(Marvel_Comics)
Black_Knight_(Nathan_Garrett)	Dreadknight
Black_Mariah	Alex_Wilder
Black_Mariah	Janice_Lincoln
Black_Mariah	Tombstone_(character)
Black_Spectre	Bushman_(character)
Black_Spectre	Morpheus_(Marvel_Comics)
Black_Spectre	Shadow_Knight_(character)
Black_Talon_(comics)	Deadpool
Blastaar	Leader_(character)
Blastaar	Phalanx_(comics)
Blastaar	Super-Adaptoid
Blizzard_(Marvel_Comics)	Force_(comics)
Blizzard_(Marvel_Comics)	Hulk
Blizzard_(Marvel_Comics)	Iron_Man_2020
Blizzard_(Marvel_Comics)	Iron_Monger
Blizzard_(Marvel_Comics)	Living_Laser
Blizzard_(Marvel_Comics)	Norman_Osborn
Blizzard_(Marvel_Comics)	Whiplash_(Marvel_Comics)
Blood_Brothers_(comics)	Controller_(Marvel_Comics)
Blood_Brothers_(comics)	Ego_the_Living_Planet
Blood_Brothers_(comics)	Jonas_Harrow
Blood_Brothers_(comics)	Lunatik
Blood_Brothers_(comics)	Norman_Osborn
Blood_Brothers_(comics)	Rampage_(Marvel_Comics)
Blood_Brothers_(comics)	Thanos
Blood_Spider_(character)	Venom_(character)
Brain_Drain_(character)	Master_of_the_World_(character)
Brent_Jackson	Malcolm_Colcord
Brent_Jackson	Sabretooth_(character)
Bulldozer_(character)	Beyonder
Bulldozer_(character)	Piledriver_(character)
Bulldozer_(character)	Thunderball_(character)
Bulldozer_(character)	Ulik
Bulldozer_(character)	Wrecker_(comics)
Bullseye_(Marvel_Comics)	Deadpool
Bullseye_(Marvel_Comics)	Karla_Sofen
Bullseye_(Marvel_Comics)	Norman_Osborn
Bushman_(character)	Scarecrow_(Marvel_Comics)
Bushwacker_(comics)	Eddie_Brock
Bushwacker_(comics)	Hulk
Bushwacker_(comics)	Jackal_(Marvel_Comics_character)
Captain_Atlas	Blizzard_(Marvel_Comics)
Captain_Atlas	Firebrand_(Marvel_Comics)
Captain_Atlas	Korath_the_Pursuer
Captain_Atlas	Ronan_the_Accuser
Captain_Atlas	Whiplash_(Marvel_Comics)
Carrion_(comics)	Doppelganger_(Marvel_Comics)
Carrion_(comics)	Green_Goblin
Carrion_(comics)	Jackal_(Marvel_Comics_character)
Carrion_(comics)	Jason_Macendale
Carrion_(comics)	Shriek_(character)
Champion_of_the_Universe	Hulk
Champion_of_the_Universe	Thanos
Chondu_the_Mystic	Mysterio
Cobra_(Marvel_Comics)	Eel_(Marvel_Comics)
Cobra_(Marvel_Comics)	Mac_Gargan
Cobra_(Marvel_Comics)	Mister_Hyde_(Marvel_Comics)
Cobra_(Marvel_Comics)	Nomad_(Marvel_Comics)
Cobra_(Marvel_Comics)	Sidewinder_(character)
Cobra_(Marvel_Comics)	Sin_(Marvel_Comics)
Cobra_(Marvel_Comics)	Tarantula_(Marvel_Comics)
Cockroach_Hamilton	Alex_Wilder
Cockroach_Hamilton	Black_Mariah
Condor_(comics)	Blastaar
Condor_(comics)	Diamondhead_(comics)
Condor_(comics)	Powerhouse_(Marvel_Comics)
Condor_(comics)	Red_Raven_(Marvel_Comics)
Condor_(comics)	Sphinx_(Marvel_Comics)
Controller_(Marvel_Comics)	Blood_Brothers_(comics)
Controller_(Marvel_Comics)	Thanos
Copperhead_(Marvel_Comics)	Cobra_(Marvel_Comics)
Copperhead_(Marvel_Comics)	Human_Fly_(character)
Copperhead_(Marvel_Comics)	Sidewinder_(character)
Cottonmouth_(Burchell_Clemens)	Porcupine_(character)
Cottonmouth_(Burchell_Clemens)	Sidewinder_(character)
Cottonmouth_(Cornell_Stokes)	Alex_Wilder
Cottonmouth_(Cornell_Stokes)	Diamondback_(Willis_Stryker)
Cottonmouth_(Cornell_Stokes)	Tombstone_(character)
Crippler_(character)	Baron_Strucker
Crippler_(character)	Eddie_Brock
Cyber_(Marvel_Comics)	Abraham_Cornelius
Cyber_(Marvel_Comics)	Ogun_(comics)
Cyber_(Marvel_Comics)	Romulus_(comics)
Cyber_(Marvel_Comics)	Tinkerer_(Marvel_Comics)
Daddy_Longlegs_(comics)	Locksmith_(comics)
Danger_Room	Emma_Frost
Danger_Room	Sentinel_(comics)
Deadpool	Apocalypse_(character)
Deadpool	Beyonder
Deadpool	Dracula_(Marvel_Comics)
Deadpool	Dragon_Lord_(character)
Deadpool	Green_Goblin
Deadpool	Hulk
Deadpool	Morbius
Deadpool	Nomad_(Marvel_Comics)
Deadpool	Norman_Osborn
Deadpool	Psycho-Man
Deadpool	T-Ray_(comics)
Deadpool	Thanos
Deadpool	Thunderbolt_Ross
Deadpool	Venom_(character)
Death-Stalker	Purple_Man
Deathbird	Apocalypse_(character)
Deathbird	Living_Monolith
Deathbird	Phalanx_(comics)
Deathbird	Vulcan_(Marvel_Comics)
Desak	Gorr_the_God_Butcher
Desak	Zarrko
Devil_Hulk	Hulk
Devil_Hulk	John_Ryker
Devil_Hulk	Leader_(character)
Devil_Hulk	Venom_(character)
Devos_the_Devastator	Steel_Serpent
Devos_the_Devastator	Talos_the_Untamed
Diamondhead_(comics)	Condor_(comics)
Diamondhead_(comics)	Powerhouse_(Marvel_Comics)
Diamondhead_(comics)	Sphinx_(Marvel_Comics)
Doctor_Druid	Dracula_(Marvel_Comics)
Doctor_Druid	Emma_Frost
Doctor_Druid	Hulk
Doctor_Faustus_(character)	Karla_Sofen
Doctor_Faustus_(character)	Maker_(character)
Doctor_Faustus_(character)	William_Burnside_(character)
Doctor_Nemesis	Emma_Frost
Doctor_Nemesis	Mister_Sinister
Doctor_Nemesis	Norman_Osborn
Doctor_Nemesis	Sabretooth_(character)
Doctor_Nemesis	Sentinel_(comics)
Doom_2099	Maestro_(character)
Doom_2099	Phalanx_(comics)
Doom_2099	Ultron
Doppelganger_(Marvel_Comics)	Carrion_(comics)
Doppelganger_(Marvel_Comics)	Deadpool
Doppelganger_(Marvel_Comics)	Jason_Macendale
Doppelganger_(Marvel_Comics)	Shriek_(character)
Doppelganger_(Marvel_Comics)	Venom_(character)
Dracula_(Marvel_Comics)	Apocalypse_(character)
Dracula_(Marvel_Comics)	Deadpool
Dracula_(Marvel_Comics)	Hulk
Dracula_(Marvel_Comics)	Morbius
Dracula_(Marvel_Comics)	Sentinel_(comics)
Dracula_(Marvel_Comics)	Varnae
Dreadknight	Black_Knight_(Marvel_Comics)
Dreadknight	Black_Knight_(Nathan_Garrett)
Dreadnought_(comics)	Ultron
Dweller-in-Darkness	Mister_Fear
Dweller-in-Darkness	Phoenix_Force
Eddie_Brock	Black_Cat_(Marvel_Comics)
Eddie_Brock	Green_Goblin
Eddie_Brock	Mac_Gargan
Eddie_Brock	Maker_(character)
Eddie_Brock	Mister_Negative
Eddie_Brock	Morbius
Eddie_Brock	Mysterio
Eddie_Brock	Norman_Osborn
Eddie_Brock	Scarlet_Spider
Eddie_Brock	Shriek_(character)
Eddie_Brock	Sleeper_(Marvel_Comics)
Eddie_Brock	Spider-Woman
Eddie_Brock	Tinkerer_(Marvel_Comics)
Eddie_Brock	Venom_(character)
Eel_(Marvel_Comics)	Black_Cat_(Marvel_Comics)
Eel_(Marvel_Comics)	Gladiator_(Melvin_Potter)
Eel_(Marvel_Comics)	Mister_Fear
Eel_(Marvel_Comics)	Mister_Hyde_(Marvel_Comics)
Eel_(Marvel_Comics)	Mister_Negative
Eel_(Marvel_Comics)	Phil_Urich
Eel_(Marvel_Comics)	Porcupine_(character)
Eel_(Marvel_Comics)	Scarecrow_(Marvel_Comics)
Eel_(Marvel_Comics)	Sin_(Marvel_Comics)
Eel_(Marvel_Comics)	Stiletto_(comics)
Egghead_(Marvel_Comics)	Barney_Barton
Egghead_(Marvel_Comics)	Puppet_Master_(Marvel_Comics)
Ego_the_Living_Planet	Mindless_Ones
