# marvel-crawler — Marvel_Comics_supervillains crawl (2026-09-13)
# Wikipedia Category:Marvel_Comics_supervillains — 370 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Abraham_Cornelius	Abraham Cornelius	Q4668817	https://en.wikipedia.org/wiki/Abraham_Cornelius	Abraham Cornelius is a character appearing in American comic books published by Marvel Comics.
Absorbing_Man	Absorbing Man	Q2465865	https://en.wikipedia.org/wiki/Absorbing_Man	Absorbing Man (Carl "Crusher" Creel) is a character appearing in American comic books published by Marvel Comics.
Alex_Wilder	Alex Wilder	Q3610734	https://en.wikipedia.org/wiki/Alex_Wilder	Alex Wilder is a fictional character appearing in American comic books published by Marvel Comics.
Alexander_Bont	Alexander Bont	Q4718393	https://en.wikipedia.org/wiki/Alexander_Bont	Alexander Bont is a character appearing in American comic books published by Marvel Comics.
Answer_(comics)	Answer (comics)	Q3549707	https://en.wikipedia.org/wiki/Answer_(comics)	Answer is the name of several supervillains appearing in American comic books published by Marvel Comics.
Apocalypse_(character)	Apocalypse (character)	Q2071805	https://en.wikipedia.org/wiki/Apocalypse_(character)	Apocalypse (En Sabah Nur) is a supervillain appearing in American comic books published by Marvel Comics.
Ares_(Marvel_Comics)	Ares (Marvel Comics)	Q1277573	https://en.wikipedia.org/wiki/Ares_(Marvel_Comics)	Ares is a fictional character, a deity appearing in American comic books published by Marvel Comics.
Aries_(character)	Aries (character)	Q2861270	https://en.wikipedia.org/wiki/Aries_(character)	Aries is the name of several characters appearing in American comic books published by Marvel Comics.
Attuma	Attuma	Q2393694	https://en.wikipedia.org/wiki/Attuma	Attuma () is a supervillain appearing in American comic books published by Marvel Comics.
Awesome_Android	Awesome Android	Q3543784	https://en.wikipedia.org/wiki/Awesome_Android	The Awesome Android (also briefly known as Awesome Andy) is a fictional character appearing in American comic books published by Marvel Comics.
Barney_Barton	Barney Barton	Q1393840	https://en.wikipedia.org/wiki/Barney_Barton	Charles Bernard "Barney" Barton is a character appearing in American comic books published by Marvel Comics.
Baron_Brimstone	Baron Brimstone	Q2884769	https://en.wikipedia.org/wiki/Baron_Brimstone	Baron Brimstone (Walther Theodoric) is a fictional character appearing in American comic books published by Marvel Comics.
Baron_Strucker	Baron Strucker	Q576524	https://en.wikipedia.org/wiki/Baron_Strucker	Baron Wolfgang von Strucker () is a supervillain appearing in American comic books published by Marvel Comics.
Baron_Von_Blitzschlag	Baron Von Blitzschlag	Q4862890	https://en.wikipedia.org/wiki/Baron_Von_Blitzschlag	Baron Werner Von Blitzschlag is a character appearing in American comic books published by Marvel Comics.
Batroc_the_Leaper	Batroc the Leaper	Q2308669	https://en.wikipedia.org/wiki/Batroc_the_Leaper	Georges Batroc the Leaper (French: Batroc le Sauteur) is a fictional character appearing in American comic books published by Marvel Comics.
Batwing_(Marvel_Comics)	Batwing (Marvel Comics)	Q2891934	https://en.wikipedia.org/wiki/Batwing_(Marvel_Comics)	James "Jimmy" Santini is a character appearing in American comic books published by Marvel Comics.
Beyonder	Beyonder	Q1994866	https://en.wikipedia.org/wiki/Beyonder	The Beyonder () is a fictional cosmic entity appearing in American comic books published by Marvel Comics.
Bi-Beast	Bi-Beast	Q2900730	https://en.wikipedia.org/wiki/Bi-Beast	The Bi-Beast is a fictional character appearing in American comic books published by Marvel Comics.
Birdy_(character)	Birdy (character)	Q119348215	https://en.wikipedia.org/wiki/Birdy_(character)	Birdy is a supervillain appearing in American comic books published by Marvel Comics.
Black_Cat_(Marvel_Comics)	Black Cat (Marvel Comics)	Q912640	https://en.wikipedia.org/wiki/Black_Cat_(Marvel_Comics)	Black Cat is a character appearing in American comic books published by Marvel Comics.
Black_Knight_(Marvel_Comics)	Black Knight (Marvel Comics)	Q1149800	https://en.wikipedia.org/wiki/Black_Knight_(Marvel_Comics)	The Black Knight is the alias of several fictional characters appearing in American comic books published by Marvel Comics.
Black_Knight_(Nathan_Garrett)	Black Knight (Nathan Garrett)	Q4921115	https://en.wikipedia.org/wiki/Black_Knight_(Nathan_Garrett)	Nathan Garrett is a character appearing in American comic books published by Marvel Comics.
Black_Mariah	Black Mariah	Q25351962	https://en.wikipedia.org/wiki/Black_Mariah	Black Mariah (Mariah Dillard) is a supervillain appearing in American comic books published by Marvel Comics.
Black_Spectre	Black Spectre	Q4921877	https://en.wikipedia.org/wiki/Black_Spectre	Black Spectre is the name of several fictional characters appearing in American comic books published by Marvel Comics.
Black_Talon_(comics)	Black Talon (comics)	Q1645925	https://en.wikipedia.org/wiki/Black_Talon_(comics)	The Black Talon is the name of a number of supervillains appearing in American comic books published by Marvel Comics.
Blastaar	Blastaar	Q635781	https://en.wikipedia.org/wiki/Blastaar	Blastaar (UK: , US: ) (also known as the Living Bomb-Burst and Blasstaar) is a character appearing in American comic books published by Marvel Comics.
Blizzard_(Marvel_Comics)	Blizzard (Marvel Comics)	Q3142385	https://en.wikipedia.org/wiki/Blizzard_(Marvel_Comics)	Blizzard is the name of several fictional characters appearing in American comic books published by Marvel Comics, who are primarily enemies of Iron Man.
Blood_Brothers_(comics)	Blood Brothers (comics)	Q516338	https://en.wikipedia.org/wiki/Blood_Brothers_(comics)	The Blood Brothers are a supervillain duo appearing in American comic books published by Marvel Comics.
