# marvel-crawler — The_Silmarillion_characters crawl (2026-09-09)
# Wikipedia Category:The Silmarillion characters: one node per page; edge A -> B
# when the article of A links to the article of B. 21 nodes, 151 directed edges.
# 0 pages have no edge in either direction — take the full node set from <slug>_nodes.tsv.
source	target
Ancalagon_the_Black	Eärendil_and_Elwing
Ancalagon_the_Black	Gandalf
Ancalagon_the_Black	Morgoth
Ancalagon_the_Black	Túrin_Turambar
Celebrimbor	Finwë_and_Míriel
Celebrimbor	Fëanor
Celebrimbor	Galadriel
Celebrimbor	Sauron
Elrond	Eärendil_and_Elwing
Elrond	Galadriel
Elrond	Gil-galad
Elrond	Húrin
Elrond	Lúthien_and_Beren
Elrond	Morgoth
Elrond	Sauron
Elrond	Thingol
Elrond	Túrin_Turambar
Eärendil_and_Elwing	Ancalagon_the_Black
Eärendil_and_Elwing	Elrond
Eärendil_and_Elwing	Finwë_and_Míriel
Eärendil_and_Elwing	Fëanor
Eärendil_and_Elwing	Galadriel
Eärendil_and_Elwing	Lúthien_and_Beren
Eärendil_and_Elwing	Melian_(Middle-earth)
Eärendil_and_Elwing	Morgoth
Eärendil_and_Elwing	Tuor_and_Idril
Eärendil_and_Elwing	Ungoliant
Fingolfin	Elrond
Fingolfin	Eärendil_and_Elwing
Fingolfin	Finwë_and_Míriel
Fingolfin	Fëanor
Fingolfin	Gil-galad
Fingolfin	Morgoth
Finwë_and_Míriel	Fingolfin
Finwë_and_Míriel	Fëanor
Finwë_and_Míriel	Morgoth
Fëanor	Celebrimbor
Fëanor	Eärendil_and_Elwing
Fëanor	Fingolfin
Fëanor	Finwë_and_Míriel
Fëanor	Galadriel
Fëanor	Lúthien_and_Beren
Fëanor	Morgoth
Fëanor	Saruman
Fëanor	Sauron
Fëanor	Ungoliant
Galadriel	Celebrimbor
Galadriel	Elrond
Galadriel	Eärendil_and_Elwing
Galadriel	Finwë_and_Míriel
Galadriel	Fëanor
Galadriel	Gandalf
Galadriel	Gil-galad
Galadriel	Lúthien_and_Beren
Galadriel	Melian_(Middle-earth)
Galadriel	Sauron
Galadriel	Thingol
Gandalf	Elrond
Gandalf	Galadriel
Gandalf	Saruman
Gandalf	Sauron
Gil-galad	Celebrimbor
Gil-galad	Elrond
Gil-galad	Eärendil_and_Elwing
Gil-galad	Fingolfin
Gil-galad	Finwë_and_Míriel
Gil-galad	Fëanor
Gil-galad	Galadriel
Gil-galad	Sauron
Glorfindel	Elrond
Glorfindel	Eärendil_and_Elwing
Glorfindel	Gandalf
Glorfindel	Morgoth
Glorfindel	Sauron
Glorfindel	Tuor_and_Idril
Húrin	Elrond
Húrin	Fingolfin
Húrin	Melian_(Middle-earth)
Húrin	Morgoth
Húrin	Thingol
Húrin	Túrin_Turambar
Lúthien_and_Beren	Elrond
Lúthien_and_Beren	Galadriel
Lúthien_and_Beren	Húrin
Lúthien_and_Beren	Melian_(Middle-earth)
Lúthien_and_Beren	Morgoth
Lúthien_and_Beren	Sauron
Lúthien_and_Beren	Thingol
Melian_(Middle-earth)	Elrond
Melian_(Middle-earth)	Eärendil_and_Elwing
Melian_(Middle-earth)	Galadriel
Melian_(Middle-earth)	Gandalf
Melian_(Middle-earth)	Húrin
Melian_(Middle-earth)	Lúthien_and_Beren
Melian_(Middle-earth)	Morgoth
Melian_(Middle-earth)	Thingol
Melian_(Middle-earth)	Túrin_Turambar
Melian_(Middle-earth)	Ungoliant
Morgoth	Ancalagon_the_Black
Morgoth	Elrond
Morgoth	Eärendil_and_Elwing
Morgoth	Finwë_and_Míriel
Morgoth	Fëanor
Morgoth	Gandalf
Morgoth	Húrin
Morgoth	Lúthien_and_Beren
Morgoth	Saruman
Morgoth	Sauron
Morgoth	Thingol
Morgoth	Ungoliant
Saruman	Elrond
Saruman	Galadriel
Saruman	Gandalf
Saruman	Sauron
Sauron	Celebrimbor
Sauron	Elrond
Sauron	Eärendil_and_Elwing
Sauron	Galadriel
Sauron	Gandalf
Sauron	Gil-galad
Sauron	Lúthien_and_Beren
Sauron	Morgoth
Thingol	Elrond
Thingol	Finwë_and_Míriel
Thingol	Fëanor
Thingol	Galadriel
Thingol	Gil-galad
Thingol	Húrin
Thingol	Lúthien_and_Beren
Thingol	Melian_(Middle-earth)
Thingol	Morgoth
Thingol	Tuor_and_Idril
Thingol	Túrin_Turambar
Tuor_and_Idril	Elrond
Tuor_and_Idril	Eärendil_and_Elwing
Tuor_and_Idril	Fëanor
Tuor_and_Idril	Galadriel
Tuor_and_Idril	Glorfindel
Tuor_and_Idril	Lúthien_and_Beren
Tuor_and_Idril	Morgoth
Tuor_and_Idril	Thingol
Tuor_and_Idril	Túrin_Turambar
Túrin_Turambar	Ancalagon_the_Black
Túrin_Turambar	Eärendil_and_Elwing
Túrin_Turambar	Húrin
Túrin_Turambar	Lúthien_and_Beren
Túrin_Turambar	Melian_(Middle-earth)
Túrin_Turambar	Morgoth
Túrin_Turambar	Thingol
Ungoliant	Fëanor
Ungoliant	Morgoth
