# marvel-crawler — Star_Trek:_Deep_Space_Nine_characters crawl (2026-09-10)
# Wikipedia Category:Star_Trek:_Deep_Space_Nine_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 22 nodes, 135 directed edges.
# 1 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Benjamin_Sisko	Dukat_(Star_Trek)
Benjamin_Sisko	Jadzia_Dax
Benjamin_Sisko	Jake_Sisko
Dukat_(Star_Trek)	Benjamin_Sisko
Dukat_(Star_Trek)	Elim_Garak
Dukat_(Star_Trek)	Jadzia_Dax
Dukat_(Star_Trek)	Julian_Bashir
Dukat_(Star_Trek)	Kira_Nerys
Dukat_(Star_Trek)	Miles_O'Brien_(Star_Trek)
Dukat_(Star_Trek)	Odo_(Star_Trek)
Dukat_(Star_Trek)	Worf
Elim_Garak	Dukat_(Star_Trek)
Elim_Garak	Ezri_Dax
Elim_Garak	Julian_Bashir
Elim_Garak	Kira_Nerys
Elim_Garak	Odo_(Star_Trek)
Elim_Garak	Worf
Ezri_Dax	Benjamin_Sisko
Ezri_Dax	Dukat_(Star_Trek)
Ezri_Dax	Elim_Garak
Ezri_Dax	Gowron
Ezri_Dax	Jadzia_Dax
Ezri_Dax	Jake_Sisko
Ezri_Dax	Julian_Bashir
Ezri_Dax	Kira_Nerys
Ezri_Dax	Martok
Ezri_Dax	Miles_O'Brien_(Star_Trek)
Ezri_Dax	Quark_(Star_Trek)
Ezri_Dax	Worf
Gowron	Benjamin_Sisko
Gowron	Dukat_(Star_Trek)
Gowron	Jean-Luc_Picard
Gowron	Martok
Gowron	Miles_O'Brien_(Star_Trek)
Gowron	Odo_(Star_Trek)
Gowron	Worf
Ishka	Julian_Bashir
Ishka	Odo_(Star_Trek)
Ishka	Quark_(Star_Trek)
Ishka	Rom_(Star_Trek)
Jadzia_Dax	Benjamin_Sisko
Jadzia_Dax	Dukat_(Star_Trek)
Jadzia_Dax	Ezri_Dax
Jadzia_Dax	Julian_Bashir
Jadzia_Dax	Kira_Nerys
Jadzia_Dax	Martok
Jadzia_Dax	Quark_(Star_Trek)
Jadzia_Dax	Worf
