# marvel-crawler — Star_Trek:_Deep_Space_Nine_characters crawl (2026-09-10)
# Wikipedia Category:Star_Trek:_Deep_Space_Nine_characters — 22 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Benjamin_Sisko	Benjamin Sisko	Q546404	https://en.wikipedia.org/wiki/Benjamin_Sisko	Benjamin Lafayette Sisko is a fictional character in the Star Trek franchise portrayed by Avery Brooks.
Dukat_(Star_Trek)	Dukat (Star Trek)	Q22954	https://en.wikipedia.org/wiki/Dukat_(Star_Trek)	Dukat is a fictional character from the television series Star Trek: Deep Space Nine.
Elim_Garak	Elim Garak	Q22971	https://en.wikipedia.org/wiki/Elim_Garak	Elim Garak ( EE-lim GARR-ək) is a fictional character from the television series Star Trek: Deep Space Nine, in which he is portrayed by Andrew J. Robinson.
Ezri_Dax	Ezri Dax	Q2171485	https://en.wikipedia.org/wiki/Ezri_Dax	Ezri Dax () is a fictional character who appears in the seventh and final season of the American science fiction TV series Star Trek: Deep Space Nine.
Gowron	Gowron	Q1027770	https://en.wikipedia.org/wiki/Gowron	Gowron, son of M'Rel, is a fictional character who appeared in the American science fiction television series Star Trek: The Next Generation and Star Trek: Deep Space Nine.
Ishka	Ishka	Q25338347	https://en.wikipedia.org/wiki/Ishka	Ishka is a fictional character from the science fiction television series Star Trek: Deep Space Nine (DS9).
Jadzia_Dax	Jadzia Dax	Q774719	https://en.wikipedia.org/wiki/Jadzia_Dax	Jadzia Dax (), played by Terry Farrell, is a fictional character from the science-fiction television series Star Trek: Deep Space Nine.
Jake_Sisko	Jake Sisko	Q3160645	https://en.wikipedia.org/wiki/Jake_Sisko	Jake Sisko is a fictional character in the Star Trek franchise.
Jean-Luc_Picard	Jean-Luc Picard	Q16276	https://en.wikipedia.org/wiki/Jean-Luc_Picard	Jean-Luc Picard is a fictional character in the Star Trek franchise, most often seen as the commanding officer of the Federation starship USS Enterprise (NCC-1701-D).
Julian_Bashir	Julian Bashir	Q1882443	https://en.wikipedia.org/wiki/Julian_Bashir	Julian Subatoi Bashir, MD is a fictional character from the television series Star Trek: Deep Space Nine, portrayed by Alexander Siddig.
Keiko_O'Brien	Keiko O'Brien	Q6741449	https://en.wikipedia.org/wiki/Keiko_O'Brien	Keiko O'Brien (born Keiko Ishikawa) is a character in the fictional Star Trek universe, played by actress Rosalind Chao.
Kira_Nerys	Kira Nerys	Q1960052	https://en.wikipedia.org/wiki/Kira_Nerys	Kira Nerys ( KEER-ə nirr-EESS) is a fictional character in the American science fiction television series Star Trek: Deep Space Nine (1993–1999).
Martok	Martok	Q1166091	https://en.wikipedia.org/wiki/Martok	Martok, son of Urthog is a recurring character in Star Trek: Deep Space Nine, played by actor J. G. Hertzler.
Miles_O'Brien_(Star_Trek)	Miles O'Brien (Star Trek)	Q2020365	https://en.wikipedia.org/wiki/Miles_O'Brien_(Star_Trek)	Miles Edward O'Brien is a character in the Star Trek franchise, portrayed by actor Colm Meaney.
Nog_(Star_Trek)	Nog (Star Trek)	Q3342685	https://en.wikipedia.org/wiki/Nog_(Star_Trek)	Nog, played by Aron Eisenberg, is a recurring character on the science fiction television series Star Trek: Deep Space Nine (DS9).
Odo_(Star_Trek)	Odo (Star Trek)	Q2195486	https://en.wikipedia.org/wiki/Odo_(Star_Trek)	Odo , played by René Auberjonois, is a fictional character in the science fiction television series Star Trek: Deep Space Nine.
Q_(Star_Trek)	Q (Star Trek)	Q15857	https://en.wikipedia.org/wiki/Q_(Star_Trek)	Q is a fictional character, as well as the name of a race, in the Star Trek franchise, appearing in the series Next Generation, Deep Space Nine, Voyager, Lower Decks, Picard, and Strange New Worlds as well as in related media.
Quark_(Star_Trek)	Quark (Star Trek)	Q2473641	https://en.wikipedia.org/wiki/Quark_(Star_Trek)	Quark is a fictional character in the American television series Star Trek: Deep Space Nine.
Rom_(Star_Trek)	Rom (Star Trek)	Q3440554	https://en.wikipedia.org/wiki/Rom_(Star_Trek)	Rom is a recurring character on Star Trek: Deep Space Nine.
Tuvok	Tuvok	Q9108122	https://en.wikipedia.org/wiki/Tuvok	Tuvok  is a fictional character in the Star Trek media franchise and a main character in the television series Star Trek: Voyager.
Vic_Fontaine	Vic Fontaine	Q7887768	https://en.wikipedia.org/wiki/Vic_Fontaine	Vic Fontaine  is a fictional character who appeared in the sixth and seventh seasons of the American science fiction television series Star Trek: Deep Space Nine.
Worf	Worf	Q826155	https://en.wikipedia.org/wiki/Worf	Worf, son of Mogh is a fictional character in the Star Trek franchise, portrayed by actor Michael Dorn.
