# marvel-crawler — Street_Fighter_characters crawl (2026-09-10)
# Wikipedia Category:Street_Fighter_characters: one node per page; edge A -> B
# when the article of A links to the article of B. 53 nodes, 299 directed edges.
# 1 nodes have no edge in either direction — take the full node set from the nodes file.
source	target
Abigail_(Final_Fight)	Alex_(Street_Fighter)
Abigail_(Final_Fight)	Poison_(Final_Fight)
Abigail_(Final_Fight)	Twelve_(Street_Fighter)
Akuma_(Street_Fighter)	Ken_Masters
Akuma_(Street_Fighter)	M._Bison
Akuma_(Street_Fighter)	Ryu_(Street_Fighter)
Akuma_(Street_Fighter)	Sheng_Long
Alex_(Street_Fighter)	Chun-Li
Alex_(Street_Fighter)	Dhalsim
Alex_(Street_Fighter)	F.A.N.G._(Street_Fighter)
Alex_(Street_Fighter)	Guile_(Street_Fighter)
Alex_(Street_Fighter)	R._Mika
Alex_(Street_Fighter)	Ryu_(Street_Fighter)
Alex_(Street_Fighter)	Zangief
Balrog_(Street_Fighter)	Chun-Li
Balrog_(Street_Fighter)	M._Bison
Balrog_(Street_Fighter)	Vega_(Street_Fighter)
Birdie_(Street_Fighter)	Balrog_(Street_Fighter)
Birdie_(Street_Fighter)	Cammy
Birdie_(Street_Fighter)	Dee_Jay
Birdie_(Street_Fighter)	Dudley_(Street_Fighter)
Birdie_(Street_Fighter)	Ken_Masters
Birdie_(Street_Fighter)	Ryu_(Street_Fighter)
Birdie_(Street_Fighter)	Zangief
Blanka	Balrog_(Street_Fighter)
Blanka	Cammy
Blanka	Charlie_Nash_(Street_Fighter)
Blanka	Chun-Li
Blanka	Dan_Hibiki
Blanka	Dhalsim
Blanka	Ken_Masters
Blanka	Ryu_(Street_Fighter)
Blanka	Sakura_Kasugano
Blanka	Zangief
Cammy	Balrog_(Street_Fighter)
Cammy	Chun-Li
Cammy	Guile_(Street_Fighter)
Cammy	Juri_(Street_Fighter)
Cammy	M._Bison
Cammy	R._Mika
Cammy	Sagat_(Street_Fighter)
Cammy	Sakura_Kasugano
Cammy	T._Hawk
Cammy	Vega_(Street_Fighter)
Captain_Commando_(character)	Ryu_(Street_Fighter)
Captain_Sawada	Guile_(Street_Fighter)
Captain_Sawada	M._Bison
Captain_Sawada	Ryu_(Street_Fighter)
Charlie_Nash_(Street_Fighter)	Blanka
Charlie_Nash_(Street_Fighter)	Guile_(Street_Fighter)
Charlie_Nash_(Street_Fighter)	M._Bison
Chun-Li	Akuma_(Street_Fighter)
Chun-Li	Balrog_(Street_Fighter)
Chun-Li	Charlie_Nash_(Street_Fighter)
Chun-Li	E._Honda
Chun-Li	Guile_(Street_Fighter)
Chun-Li	Ken_Masters
Chun-Li	M._Bison
Chun-Li	Mai_Shiranui
Chun-Li	Ryu_(Street_Fighter)
Chun-Li	Sakura_Kasugano
Chun-Li	Vega_(Street_Fighter)
Dan_Hibiki	Akuma_(Street_Fighter)
Dan_Hibiki	Balrog_(Street_Fighter)
Dan_Hibiki	Blanka
Dan_Hibiki	E._Honda
Dan_Hibiki	Ken_Masters
Dan_Hibiki	Ryu_(Street_Fighter)
Dan_Hibiki	Sagat_(Street_Fighter)
Dan_Hibiki	Sakura_Kasugano
Dee_Jay	Cammy
Dee_Jay	Captain_Sawada
Dee_Jay	Juri_(Street_Fighter)
Dee_Jay	T._Hawk
Dee_Jay	Zangief
Dhalsim	Akuma_(Street_Fighter)
Dhalsim	Blanka
Dhalsim	Charlie_Nash_(Street_Fighter)
Dhalsim	E._Honda
Dhalsim	M._Bison
Dhalsim	Ryu_(Street_Fighter)
Dhalsim	Sagat_(Street_Fighter)
Dhalsim	T._Hawk
Dudley_(Street_Fighter)	Balrog_(Street_Fighter)
Dudley_(Street_Fighter)	Elena_(Street_Fighter)
Dudley_(Street_Fighter)	Ken_Masters
Dudley_(Street_Fighter)	Ryu_(Street_Fighter)
E._Honda	Balrog_(Street_Fighter)
E._Honda	Blanka
E._Honda	Chun-Li
E._Honda	Dhalsim
E._Honda	Ken_Masters
E._Honda	Rufus_(Street_Fighter)
E._Honda	Ryu_(Street_Fighter)
E._Honda	Sakura_Kasugano
E._Honda	Sodom_(Final_Fight)
E._Honda	Zangief
El_Fuerte_(Street_Fighter)	R._Mika
Elena_(Street_Fighter)	Akuma_(Street_Fighter)
Elena_(Street_Fighter)	Cammy
Elena_(Street_Fighter)	Chun-Li
