# marvel-crawler — Street_Fighter_characters crawl (2026-09-10)
# Wikipedia Category:Street_Fighter_characters — 53 nodes (redirects resolved).
# node_id matches the source column of the edges file.
node_id	name	wikidata_id	url	description
Abigail_(Final_Fight)	Abigail (Final Fight)	Q48760515	https://en.wikipedia.org/wiki/Abigail_(Final_Fight)	Abigail (Japanese: アビゲイル, Hepburn: Abigeiru) is a character introduced in Capcom's 1989 beat 'em up video game Final Fight, acting as an enforcer for the game's Mad Gear gang antagonists.
Akuma_(Street_Fighter)	Akuma (Street Fighter)	Q2265376	https://en.wikipedia.org/wiki/Akuma_(Street_Fighter)	Akuma (Japanese: 悪魔; meaning "Devil", "Demon"), known in Japan as Gouki (豪鬼; lit.
Alex_(Street_Fighter)	Alex (Street Fighter)	Q4388160	https://en.wikipedia.org/wiki/Alex_(Street_Fighter)	Alex Winger (Japanese: アレックス・ウィンガー, Hepburn: Arekkusu Wingā) is a video game character from Capcom's Street Fighter series of fighting games.
Balrog_(Street_Fighter)	Balrog (Street Fighter)	Q2479366	https://en.wikipedia.org/wiki/Balrog_(Street_Fighter)	Balrog, known in Japan as Mike Bison (Japanese: マイク・バイソン, Hepburn: Maiku Baison), is a fictional character in Capcom's Street Fighter series.
Birdie_(Street_Fighter)	Birdie (Street Fighter)	Q3272904	https://en.wikipedia.org/wiki/Birdie_(Street_Fighter)	Birdie (Japanese: バーディー, Hepburn: Bādī) is a character in the Street Fighter series.
Blanka	Blanka	Q2300110	https://en.wikipedia.org/wiki/Blanka	Blanka ( ; Japanese: ブランカ), also known by his birth name Jimmy, is a character in Capcom's Street Fighter fighting game series.
Cammy	Cammy	Q2074563	https://en.wikipedia.org/wiki/Cammy	Cammy White (Japanese: キャミィ・ホワイト, Hepburn: Kyamī Howaito), also known by the codename Killer Bee (キラービー, Kirā Bī), is a fictional character in the Street Fighter fighting game series created by Capcom.
Captain_Commando_(character)	Captain Commando (character)	Q2937628	https://en.wikipedia.org/wiki/Captain_Commando_(character)	Captain Commando (Japanese: キャプテンコマンドー, Hepburn: Kyaputen Komandō) is a mascot character created by Capcom's North American branch to advertise their Nintendo Entertainment System games.
Captain_Sawada	Captain Sawada	Q93880301	https://en.wikipedia.org/wiki/Captain_Sawada	Kenzo Sawada, commonly known as Captain Sawada, is a character in the 1994 film Street Fighter.
Charlie_Nash_(Street_Fighter)	Charlie Nash (Street Fighter)	Q3268116	https://en.wikipedia.org/wiki/Charlie_Nash_(Street_Fighter)	Charlie Nash (Japanese: チャーリー・ナッシュ, romanized: Chārī Nasshu), known as Nash in Japan and as Charlie in early international releases, is a fictional character in Capcom's Street Fighter series of fighting games.
Chun-Li	Chun-Li	Q1945499	https://en.wikipedia.org/wiki/Chun-Li	Chun-Li ( ; Japanese: 春麗(チュンリー), Hepburn: Chun-Lee) is a character in Capcom's Street Fighter video game series.
Dan_Hibiki	Dan Hibiki	Q2446375	https://en.wikipedia.org/wiki/Dan_Hibiki	Dan Hibiki (Japanese: 火引 弾, Hepburn: Hibiki Dan) is a character from Capcom's Street Fighter fighting game franchise.
Dee_Jay	Dee Jay	Q2734389	https://en.wikipedia.org/wiki/Dee_Jay	Dee Jay (Japanese: ディージェイ, Hepburn: Dī Jei) is a fictional character in the Street Fighter series.
Dhalsim	Dhalsim	Q383759	https://en.wikipedia.org/wiki/Dhalsim	Dhalsim ( ; Japanese: ダルシム, Hepburn: Darushimu) is a character in Capcom's Street Fighter series.
Dudley_(Street_Fighter)	Dudley (Street Fighter)	Q3267101	https://en.wikipedia.org/wiki/Dudley_(Street_Fighter)	Dudley (Japanese: ダッドリー, Hepburn: Daddorī) is a fictional character in Capcom's Street Fighter video game series.
E._Honda	E. Honda	Q2300080	https://en.wikipedia.org/wiki/E._Honda	Edmond Honda (Japanese: エドモンド 本田), better known as E. Honda, is a character created by Capcom for the Street Fighter fighting game series.
El_Fuerte_(Street_Fighter)	El Fuerte (Street Fighter)	Q5821973	https://en.wikipedia.org/wiki/El_Fuerte_(Street_Fighter)	El Fuerte (Japanese: エル・フォルテ) is a character from Capcom's Street Fighter franchise.
Elena_(Street_Fighter)	Elena (Street Fighter)	Q4384968	https://en.wikipedia.org/wiki/Elena_(Street_Fighter)	Elena (Japanese: エレナ) is a character in Capcom's Street Fighter fighting game series who made her first appearance in Street Fighter III: New Generation in 1997.
F.A.N.G._(Street_Fighter)	F.A.N.G. (Street Fighter)	Q104870632	https://en.wikipedia.org/wiki/F.A.N.G._(Street_Fighter)	F.A.N.G (ファン, Fan) is a character in Capcom's Street Fighter series.
Gill_(Street_Fighter)	Gill (Street Fighter)	Q4385636	https://en.wikipedia.org/wiki/Gill_(Street_Fighter)	Gill (Japanese: ギル, Hepburn: Giru) is a character in the Street Fighter series of video games by Capcom, first appearing in Street Fighter III: New Generation.
Guile_(Street_Fighter)	Guile (Street Fighter)	Q601244	https://en.wikipedia.org/wiki/Guile_(Street_Fighter)	Guile (Japanese: ガイル, Hepburn: Gairu) is a fictional character from Capcom's Street Fighter series of fighting games.
Ibuki_(Street_Fighter)	Ibuki (Street Fighter)	Q2048657	https://en.wikipedia.org/wiki/Ibuki_(Street_Fighter)	Ibuki (いぶき, Ibuki) is a character in Capcom's Street Fighter series, first appearing in the 1997 fighting game Street Fighter III: New Generation.
Ingrid_(Street_Fighter)	Ingrid (Street Fighter)	Q4417829	https://en.wikipedia.org/wiki/Ingrid_(Street_Fighter)	Ingrid (Japanese: イングリッド, Hepburn: Inguriddo) is a character in Capcom's Street Fighter series.
Juri_(Street_Fighter)	Juri (Street Fighter)	Q619540	https://en.wikipedia.org/wiki/Juri_(Street_Fighter)	Juri Han (Korean: 한주리) is a character in the Street Fighter series.
Ken_Masters	Ken Masters	Q11020382	https://en.wikipedia.org/wiki/Ken_Masters	Ken Masters (Japanese: ケン・マスターズ, Hepburn: Ken Masutāzu) is a character in Capcom's Street Fighter fighting game series.
Kimberly_Jackson	Kimberly Jackson	Q121382635	https://en.wikipedia.org/wiki/Kimberly_Jackson	Kimberly Jackson (Japanese: キンバリー・ジャクソン, Hepburn: Kinbarī Jakuson) is a character in the Street Fighter series, first introduced in Street Fighter 6.
Laura_Matsuda	Laura Matsuda	Q55531352	https://en.wikipedia.org/wiki/Laura_Matsuda	Laura Matsuda (Japanese: ララ マツダ/松田) is a fictional character from the Street Fighter series of video games, making her first appearance in 2016's Street Fighter V. She is the sister of Sean Matsuda, a character from 1997's Street Fighter III. She is from Brazil, and much like fellow Brazilian character Blanka, she utilizes electricity in some of her attacks.
Luke_(Street_Fighter)	Luke (Street Fighter)	Q121382296	https://en.wikipedia.org/wiki/Luke_(Street_Fighter)	Luke Sullivan (Japanese: ルーク・サリバン, Hepburn: Rūku Sariban) is a character from Capcom's Street Fighter fighting game series, first introduced in the 2016 video game Street Fighter V as the final downloadable content from 2021.
M._Bison	M. Bison	Q31378	https://en.wikipedia.org/wiki/M._Bison	M. Bison, known in Japan as Vega (Japanese: ベガ, Hepburn: Bega), is a character and the main antagonist of the Street Fighter series created by Capcom.
Mai_Shiranui	Mai Shiranui	Q1317441	https://en.wikipedia.org/wiki/Mai_Shiranui	Mai Shiranui (Japanese: 不知火舞, Hepburn: Shiranui Mai; alternatively written しらぬい まい) is a character in the Fatal Fury and The King of Fighters series of fighting games by SNK. Introduced in 1992's Fatal Fury 2, the character was originally conceived as a male character named "Ninja Master", but when a request was put in to include a female character in the game they revised the concept entirely.
Makoto_(Street_Fighter)	Makoto (Street Fighter)	Q3182188	https://en.wikipedia.org/wiki/Makoto_(Street_Fighter)	Makoto (Japanese: まこと) is a character in Capcom's Street Fighter fighting game series, designed by Keigo Chimoto and first appearing in 1999's Street Fighter III: 3rd Strike.
Mike_Haggar	Mike Haggar	Q3273881	https://en.wikipedia.org/wiki/Mike_Haggar	Mike Haggar (マイク・ハガー, Maiku Hagā), also known mononymously as Haggar, is a character in the Street Fighter shared universe, mainly playable in the Final Fight and Saturday Night Slam Masters series of video games.
Necro_(Street_Fighter)	Necro (Street Fighter)	Q2728819	https://en.wikipedia.org/wiki/Necro_(Street_Fighter)	Necro (Japanese: ネクロ, Hepburn: Nekuro) is a character from Capcom's Street Fighter fighting game series.
Oro_(Street_Fighter)	Oro (Street Fighter)	Q5408919	https://en.wikipedia.org/wiki/Oro_(Street_Fighter)	Oro (Japanese: オロ) is a fictional character in the Street Fighter series of fighting games by Capcom.
Poison_(Final_Fight)	Poison (Final Fight)	Q516478	https://en.wikipedia.org/wiki/Poison_(Final_Fight)	Poison (Japanese: ポイズン) is a character in Capcom's Final Fight and Street Fighter series of video games.
Q_(Street_Fighter)	Q (Street Fighter)	Q2080323	https://en.wikipedia.org/wiki/Q_(Street_Fighter)	Q is a character from Capcom's Street Fighter fighting game series.
